Modelo,F1-Macro,Accuracy,Precision,Recall,Best-Threshold,f1-best,Best-Epoch
BETO,0.6392974958359864,0.6127167630057804,0.5865864373956464,0.7180534303374824,0.5,"[0.8108, 0.5091, 0.6633]",8.0
XLM-R,0.6298262872902162,0.5895953757225434,0.5757722515054587,0.6968990432817764,0.5,"[0.824, 0.4857, 0.6552]",5.0
Robertuito,0.626127226903739,0.5346820809248555,0.5188249502699631,0.8262888242015124,0.5,"[0.812, 0.4792, 0.6734]",6.0
LongFormer,0.6260983316944387,0.6213872832369942,0.5894117647058823,0.6714145944949338,0.5,"[0.8115, 0.5098, 0.6305]",5.0
DistilBETO,0.6246880463758867,0.5982658959537572,0.5680153838048575,0.7053250002355123,0.5,"[0.8133, 0.4928, 0.6849]",4.0
MarIA,0.6226139632179901,0.5635838150289018,0.5445767975483972,0.7570953124978971,0.5,"[0.8326, 0.4694, 0.6486]",10.0
