Modelo,F1-Macro,Accuracy,Precision,Recall,Best-Threshold
DistilBETO,0.617993017953833,0.6190476190476191,0.6227449223416964,0.6148373428102788,0.5
LongFormer,0.617947265665498,0.6277056277056277,0.607347774991673,0.6294742117732822,0.5
XLM-R,0.5916303851089052,0.6103896103896104,0.6521331458040319,0.5525833788955713,0.5
BETO,0.5815162816562228,0.6017316017316018,0.6039842873176207,0.566566429743029,0.5
MarIA,0.5693473193473193,0.5411255411255411,0.5425824175824175,0.6266652997995261,0.5
Robertuito,0.5496549872024642,0.44155844155844154,0.42992230333169346,0.7674184435939494,0.5
