Modelo,F1-Macro,Accuracy,Precision,Recall,Best-Threshold
BETO,0.6456367313510171,0.6473988439306358,0.6116151433691757,0.6893532294118518,0.5
XLM-R,0.6363961992588686,0.6184971098265896,0.5941689623507805,0.7030997455121449,0.5
DistilBETO,0.624833185306643,0.5982658959537572,0.574117569624419,0.6955956509627069,0.5
LongFormer,0.619584578601315,0.6011560693641619,0.5790775367046553,0.6755791247286562,0.5
MarIA,0.5945083830633703,0.5809248554913294,0.552651495380761,0.6723357840069658,0.5
Robertuito,0.5904938728896845,0.4913294797687861,0.47050520871275586,0.8165594749287072,0.5
