Modelo,F1-Macro,Accuracy,Precision,Recall,Best-Threshold,f1-best,Best-Epoch
DistilBETO,0.6369089000667948,0.615606936416185,0.5904772523178486,0.6963418884856022,0.5,"[0.824, 0.5055, 0.6465]",6.0
LongFormer,0.6255800582048492,0.6242774566473989,0.6114500442086649,0.6453588601743329,0.5,"[0.8155, 0.4835, 0.6385]",9.0
Robertuito,0.6086213750196445,0.5317919075144508,0.5060452694073384,0.7997862894163467,0.5,"[0.8412, 0.5417, 0.6559]",6.0
XLM-R,0.596514259805918,0.5751445086705202,0.5552197418556866,0.6586168564895748,0.5,"[0.793, 0.4426, 0.6111]",7.0
MarIA,0.591647505455415,0.5924855491329479,0.5469336778639105,0.6531348031991989,0.5,"[0.7934, 0.459, 0.5917]",5.0
BETO,0.5842957808076051,0.6011560693641619,0.5751338294816556,0.5998578851534396,0.5,"[0.7661, 0.4746, 0.622]",9.0
