Modelo,F1-Macro,Accuracy,Precision,Recall,Best Params
RandomForest,0.7894781945479943,0.7947976878612717,0.7942341778750912,0.7870998372219208,"{'n_estimators': 302, 'max_depth': 36, 'min_samples_split': 8}"
LogisticRegression,0.7736275501100339,0.7774566473988439,0.7743160835349028,0.7730602278893108,"{'C': np.float64(1.3076473382928542), 'class_weight': 'balanced'}"
SVM,0.7736275501100339,0.7774566473988439,0.7743160835349028,0.7730602278893108,"{'C': np.float64(0.41933097880761067), 'kernel': 'linear'}"
