Modelo,F1-Macro,Accuracy,Precision,Recall,Best-Threshold
XLM-R,0.8290025623991648,0.8311688311688312,0.8281723198061781,0.8301218583396801,0.5
DistilBETO,0.8227712137486574,0.8268398268398268,0.8259674922600619,0.8207539984767708,0.5
Robertuito,0.8206243205466688,0.8268398268398268,0.8315373563218391,0.8163366336633664,0.5
BETO,0.8180927686545664,0.8225108225108225,0.821983227209194,0.8158035034272658,0.5
LongFormer,0.810210749565317,0.8138528138528138,0.8114930182599356,0.8092155369383092,0.5
MarIA,0.8022899747037678,0.8051948051948052,0.801983584131327,0.8026275704493526,0.5
