Modelo,F1-Macro,Accuracy,Precision,Recall,Best-Threshold,f1-best,Best-Epoch
BETO,0.8731790478625922,0.8757225433526011,0.8757419797563905,0.8713714053174173,0.52,0.876,6.0
XLM-R,0.853909812531667,0.8554913294797688,0.8528817667654188,0.8554666304937601,0.3,0.8602,9.0
Robertuito,0.8412170645331671,0.846820809248555,0.8543028614296431,0.836340206185567,0.26,0.8505,5.0
MarIA,0.8393970850106759,0.8410404624277457,0.8383446002757879,0.8411557243624526,0.55,0.8446,5.0
DistilBETO,0.8275853025256366,0.8352601156069365,0.8485032139577594,0.8217580032555616,0.33,0.8498,3.0
LongFormer,0.8203851685431507,0.8236994219653179,0.8218473318975832,0.8192824199674444,0.54,0.8422,2.0
