Modelo,F1-Macro,Accuracy,Precision,Recall,Best-Threshold,f1-best,Best-Epoch
DistilBETO,0.8583128583128583,0.861271676300578,0.8612486248624862,0.856348345089528,0.41,0.8681,6.0
Robertuito,0.8544308688297972,0.8583815028901735,0.861401180456117,0.8509224091155725,0.51,0.8601,6.0
BETO,0.8524092274092274,0.8554913294797688,0.8553011551155115,0.8504815518176886,0.59,0.8666,6.0
XLM-R,0.8352380952380952,0.838150289017341,0.8364045864045864,0.8343054801953338,0.34,0.8422,5.0
MarIA,0.8246917750380003,0.8265895953757225,0.8237611096148667,0.8261326641345632,0.59,0.8428,4.0
LongFormer,0.8172929513167309,0.8208092485549133,0.8191095890410959,0.8159929462832338,0.38,0.8273,4.0
