Modelo,F1-Macro,Accuracy,Precision,Recall,Best-Threshold,f1-best,Best-Epoch
BETO,0.7902606587189331,0.8265895953757225,0.793808530650636,0.7870470254504774,0.53,0.8007,4.0
Robertuito,0.7878842181708432,0.8121387283236994,0.7776695526695527,0.8075232730033162,0.51,0.7907,8.0
DistilBETO,0.7873815064422215,0.8236994219653179,0.7899593495934959,0.7849894122817531,0.3,0.8164,2.0
LongFormer,0.7804104082927861,0.8179190751445087,0.7829268292682927,0.7780774301809901,0.61,0.7878,10.0
XLM-R,0.77769065743191,0.8294797687861272,0.8151072124756336,0.7583403252227416,0.26,0.8164,2.0
MarIA,0.7573469368149024,0.7890173410404624,0.7499628308058282,0.7686883215470055,0.83,0.7718,8.0
