Modelo,F1-Macro,Accuracy,Precision,Recall,Best-Threshold,f1-best,Best-Epoch
DistilBETO,0.8085753803596127,0.838150289017341,0.805419778672819,0.8120580127052619,0.32,0.8168,9.0
Robertuito,0.7795681535279877,0.8121387283236994,0.7749229583975347,0.7851492268967997,0.54,0.7909,9.0
BETO,0.775564713064713,0.8034682080924855,0.7667584940312213,0.790163410443885,0.65,0.7936,6.0
XLM-R,0.7665667166416792,0.791907514450867,0.7570821276747759,0.7875264692956171,0.76,0.7869,6.0
LongFormer,0.7662050916012372,0.7947976878612717,0.7575380562060889,0.7811938151743977,0.54,0.7779,3.0
MarIA,0.7621600813879952,0.7832369942196532,0.753883495145631,0.7925406528427025,0.57,0.7713,10.0
