Modelo,F1-Macro,Accuracy,Precision,Recall,Best Params
RandomForest,0.7608007016457721,0.8063583815028902,0.7710544334132147,0.7530664429262055,"{'n_estimators': 244, 'max_depth': 21, 'min_samples_split': 7}"
LogisticRegression,0.7368228300983182,0.7658959537572254,0.7287485665137614,0.7550241719605257,"{'C': np.float64(0.49740621749684094), 'class_weight': 'balanced'}"
SVM,0.735958485958486,0.7687861271676301,0.7286317722681359,0.7486915178393064,"{'C': np.float64(0.17260836313776795), 'kernel': 'linear'}"
