Modelo,F1-Macro,Accuracy,Precision,Recall,Best-Threshold
BETO,0.6974654377880185,0.7425742574257426,0.7014084507042253,0.6942934782608696,0.5
XLM-R,0.6374358974358975,0.7227722772277227,0.6765432098765432,0.6295289855072463,0.5
Robertuito,0.6035203241737368,0.693069306930693,0.630654761904762,0.599411231884058,0.5
LongFormer,0.5992063492063492,0.6237623762376238,0.6018740031897927,0.6157155797101449,0.5
DistilBETO,0.5890012789210557,0.6534653465346535,0.5921934865900383,0.5871829710144927,0.5
MarIA,0.40588235294117647,0.6831683168316832,0.3415841584158416,0.5,0.5
