Modelo,F1-Macro,Accuracy,Precision,Recall,Best-Threshold,f1-best,Best-Epoch
DistilBETO,0.7783472133247917,0.8063583815028902,0.7696902654867257,0.7922210236126094,0.79,0.7971,6.0
BETO,0.7755896226415094,0.8092485549132948,0.7715712460805946,0.7802948579647608,0.58,0.7878,5.0
MarIA,0.7694443416132972,0.791907514450867,0.7600140424784975,0.7959167365855607,0.82,0.7982,8.0
LongFormer,0.7665667166416792,0.791907514450867,0.7570821276747759,0.7875264692956171,0.56,0.7867,4.0
Robertuito,0.7592205984690327,0.7947976878612717,0.7549306625577812,0.7644132805945103,0.45,0.7683,2.0
XLM-R,0.7033979939021695,0.7196531791907514,0.7076288244766505,0.7472731631307683,0.48,0.7066,1.0
