Modelo,F1-Macro,Accuracy,Precision,Recall,Best Params
RandomForest,0.7649926085740542,0.8034682080924855,0.7649926085740542,0.7649926085740542,"{'n_estimators': 337, 'max_depth': 12, 'min_samples_split': 3}"
LogisticRegression,0.7383545069570479,0.7687861271676301,0.7303891402714933,0.7542850293659356,"{'C': np.float64(1.1462107403425035), 'class_weight': 'balanced'}"
SVM,0.7211769115442279,0.7514450867052023,0.7138213124709749,0.7391425945902753,"{'C': np.float64(0.29505802809799336), 'kernel': 'linear'}"
